time,x_pos,x_dot,theta,theta_dot,input_u
4.78,0.14259082227866005,0.06810108008675483,-0.0005413673359119088,-0.012293117158992893,-0.020541822331544633
4.8,0.1439487588949092,0.0676852621697193,-0.0007786314085279446,-0.011434583366131758,-0.02296822896305902
4.82,0.14529797043879458,0.06723004538869469,-0.0009988602269570782,-0.010592339401528683,-0.02492921075652708
4.84,0.14663775242857402,0.06674354038750499,-0.0012025306994446342,-0.009780826568041499,-0.02649857327226981
4.86,0.14796754866859413,0.06623248586232942,-0.0013903701118757007,-0.009010728040122692,-0.0277439360088136
4.88,0.14928692508152122,0.06570237686778659,-0.0015632861087213543,-0.00828947991711151,-0.028726314881296962
4.9,0.15059554616133533,0.06515759778894438,-0.0017223066670832275,-0.0076217580649702394,-0.029499957546897874
4.92,0.15189315409569015,0.06460155566338063,-0.0018685295031949055,-0.007009933517011687,-0.030112383343820787
4.94,0.1531795505289398,0.06403681042261677,-0.002003080229631103,-0.0064544914922545224,-0.030604584454349514
4.96,0.15445458087656072,0.06346519941038799,-0.0021270785025966927,-0.0059544110285081955,-0.03101134983440226
4.98,0.15571812105592234,0.06288795422657413,-0.0022416113552566623,-0.005507503839783785,-0.031361678329676006
5.0,0.15697006646546002,0.06230580854285854,-0.0023477128988691814,-0.00511071232111808,-0.03167925211040641
5.0200000000000005,0.15821032302244856,0.06171909604377393,-0.002446349582805345,-0.004760367667274111,-0.03198294601880492
5.04,0.15943880005701683,0.06112783807054384,-0.0025384102322736505,-0.004452409874752303,-0.03228735257492639
5.0600000000000005,0.160655404855184,0.06053182089173739,-0.0026247001242048836,-0.004182571988705093,-0.03260330618790542
5.08,0.16186003864505266,0.059930662801489024,-0.002705938413365923,-0.003946531366468642,-0.032938393547200524
5.1000000000000005,0.16305259382655357,0.05932387146040073,-0.002782758278996024,-0.003740030984892881,-0.03329744021382895
5.12,0.16423295225511644,0.05871089205377456,-0.0028557092242615456,-0.003558973945075516,-0.03368296609718397
5.14,0.165400984402331,0.05809114695385583,-0.0029252610242640393,-0.003399494349031324,-0.03409560480049103
5.16,0.1665565492311702,0.057464067644329625,-0.002991808881318324,-0.0032580076595814197,-0.03453448376576542
5.18,0.16769949463894282,0.05682911970298119,-0.0030556794072529583,-0.003131243526351232,-0.034997563770703045
5.2,0.16883667772620203,0.0595803779532747,-0.003138068642942622,-0.0132074725441137,0.9236613885890936
5.22,0.1702012006366885,0.07562918335201255,-0.003940632937467974,-0.06337806699533019,0.6762445002213912
5.24,0.17183186877577114,0.08673444500372238,-0.00558849084527445,-0.0994600746036105,0.45911091152442823
5.26,0.17364387325586567,0.09383451150269304,-0.007846675205824544,-0.12468550480022499,0.2632723294989185
5.28,0.17556145347511026,0.0973653375475625,-0.010514263047754826,-0.14066044942809472,0.08965799940915176
5.3,0.17751762091696796,0.09776601801996762,-0.013421493285858229,-0.14889153523126206,-0.06176702798238495
5.32,0.1794541008293084,0.09546711906368689,-0.01642759273582699,-0.15076862051048304,-0.19158705472468132
5.34,0.1813210671669075,0.0908816413373974,-0.019418323044735328,-0.14755401905231852,-0.30080737444084
5.36,0.18307672043704937,0.0843982946346468,-0.0223033682242003,-0.14037716356803337,-0.390741907612412
5.38,0.18468675156172218,0.07637677431568765,-0.025013661500844598,-0.13023371624556807,-0.4629163461598987
5.4,0.18612372880755262,0.06714474376524589,-0.02749873127946862,-0.11798822771603448,-0.518986030952196
5.42,0.1873664390960642,0.056996245446797746,-0.029724129006759862,-0.1043795426299888,-0.5606675761471566
5.44,0.1883992096693487,0.04619128465573345,-0.03166898665925933,-0.09002824702937949,-0.5896831127742197
5.46,0.18921123120096117,0.0349563535817818,-0.03332373843497295,-0.07544554732928185,-0.6077159401423482
5.48,0.18979589903800578,0.02348568777464963,-0.03468802993644572,-0.061043061098628344,-0.6163763376581045
5.5,0.1901501853489968,0.011943071748271876,-0.03576882859452603,-0.047143084559224585,-0.617176292468204
5.5200000000000005,0.1902740515295467,0.0004640346058445632,-0.03657874117328058,-0.03398897984550398,-0.6115119318855659
5.54,0.19016990726906186,-0.010841700284798274,-0.03713453777889723,-0.021755395987483588,-0.6006525066122287
5.5600000000000005,0.1898421201824893,-0.02188762576317716,-0.03745587672151072,-0.01055810100436965,-0.5857348450324965
5.58,0.18929657783145032,-0.03260781555792928,-0.03756422069799221,-0.00046325838358239613,-0.5677622848840652
5.6000000000000005,0.18854030226425736,-0.04295431891021619,-0.03748193192637813,0.00850397027488253,-0.5476071818211895
5.62,0.18758111585724918,-0.05289464443201166,-0.03723153192399819,0.016351573236660564,-0.5260161909327621
5.64,0.18642735620244047,-0.06240937796744361,-0.03683511044410853,0.023113629239683416,-0.5036176140488419
5.66,0.18508763702063613,-0.07148996658274652,-0.03631386754186037,0.028844054100639713,-0.48093020018215593
5.68,0.18357065154790744,-0.08013668997836693,-0.03568777271225406,0.03361114365246639,-0.4583728767968828
5.7,0.18188501451144493,-0.08835683149271853,-0.034975325424223255,0.03749288531915332,-0.4362749743665905
5.72,0.1800391386453464,-0.09616305332672598,-0.03419340207171879,0.04057299703895437,-0.414886584899593
5.74,0.17804114166755067,-0.10357197452330148,-0.03335717529180258,0.042937642506128276,-0.3943887661631883
5.76,0.1758987797184481,-0.11060294544012143,-0.032480092689817885,0.044672765261255735,-0.3749033669251211
5.78,0.1736194034251719,-0.11727700880911646,-0.03157390320192407,0.045861980499328096,-0.35650230459813526
5.8,0.1712099329816721,-0.12361603483519025,-0.030648720564999822,0.04658496209959048,-0.3392161753691805
5.82,0.16867684890472634,-0.12964201600837932,-0.02971311461169002,0.04691626287044265,-0.3230421185206319
5.84,0.1660261954241666,-0.13537650625394881,-0.028774222331157458,0.04692450795012294,-0.30795089162440414
5.86,0.16326359377846986,-0.14084018859935662,-0.027837871808314582,0.04667190435846461,-0.2938931421090995
5.88,0.16039426300356993,-0.14605255558161764,-0.026908713256954615,0.04621401355057856,-0.28080488391539676
5.9,0.1574230461145153,-0.15103168705078146,-0.02599035238194452,0.045599738217022276,-0.26861220614240533
5.92,0.15435443987962913,-0.15579411075379757,-0.02508548223401742,0.04487147928489824,-0.25723525433178046
5.94,0.15119262666998232,-0.16035473202832876,-0.024196010553275388,0.044065423916448784,-0.24659153491147182
5.96,0.1479415071296689,-0.16472682002937153,-0.023323180333197316,0.04321193012691261,-0.23659859988019927
5.98,0.14460473265218354,-0.16892203909475043,-0.02246768197729698,0.04233597833382938,-0.2271761725787968
6.0,0.14118848994137936,-0.17246126179687832,-0.02163800907298602,0.039989553047164866,-0.3775937201801162
6.0200000000000005,0.13756322064328108,-0.1915669135923262,-0.020435440856979913,0.08488892208242929,-1.0065434670008802
6.04,0.13355386971647099,-0.20861662901899866,-0.018320031513229373,0.12460510675508532,-0.7741642237305699
6.0600000000000005,0.12924720359256792,-0.22136987330198962,-0.015527456969882811,0.15288602345277305,-0.5629860165770604
6.08,0.12472480834353496,-0.23026333964944332,-0.012269843163016048,0.17137594913156054,-0.3741309601072956
6.1000000000000005,0.12005944236027992,-0.23574078532511264,-0.008727332297195325,0.18162511660329245,-0.20775019515975585
6.12,0.11531502544159031,-0.23824045507383,-0.005050171108473984,0.18507019850190026,-0.06340104228968943
6.140000000000001,0.11054685165949077,-0.23818524979082512,-0.0013611187221259679,0.1830216962000983,0.05981893428249858
6.16,0.10580197410873693,-0.23597531623348983,0.002241952902745297,0.17665711374969564,0.16315406696919788
6.18,0.10111971628571749,-0.2319827427022276,0.005683371227862659,0.16701889034483505,0.2480885373055094
6.2,0.09653227103039243,-0.2265480579098663,0.008906973764914507,0.15501615773731764,0.31625943210452595
6.22,0.09206535385402288,-0.21997824762076892,0.011873485050528942,0.14142948619480084,0.3693839616457402
6.24,0.0877388829792346,-0.2125460245847479,0.014558012191868005,0.12691788066596982,0.40919973712046404
6.26,0.08356766347879463,-0.2044901105485071,0.016947697408995474,0.11202738514647857,0.4374169045244975
6.28,0.07956205748004225,-0.19601631363443922,0.019039554093072564,0.09720074576391152,0.45568088312392224
6.3,0.07572862648730438,-0.18729920925811228,0.0208385027915371,0.08278767028050253,0.4655444492017512
